park_name,author_name,rating,text,time
Sedgley Woods Disc Golf,Matthew Rosenfeld,5,"Awesome park, it’s crazy that this is inside the city, I’ll be back soon!",2023-02-07 16:45:05
Sedgley Woods Disc Golf,Christine DeVose-Cowans,4,"Nice place. Not very beginner friendly due to there not being many markers or arrows as to where the next tee or basket is.

But now that I've visited,  I will return.",2020-08-19 21:27:19
Sedgley Woods Disc Golf,Tyler Davis,5,I've played several disc golf courses and this one is as good or better than the rest I have played and fortunately for me it's close by. Nice baskets and nice platforms to launch discs from. They take care of the garbage and recycling and usually have a couple porta potties there. As usual there is a lost and found in case you lose your disk. There are tournaments and even night games with string lights and glowing discs.,2020-06-01 09:32:38
Wilson Park,Chris Smith,4,,2021-08-10 11:07:25
Ellen Vagelos Field,Anwar Md Hossain,5,"Ellen Vagelos Field is a premier athletic facility located at the University of Pennsylvania. Opened in September 2013, it serves as the dedicated home for the university’s field hockey team. Nestled within the River Fields complex, it is flanked by Rhodes Field to the north and the Mondschein Throwing Complex to the south. Designed with Astroturf, the field provides an optimal playing surface for the sport. The facility not only enhances the athletic experience for players and fans alike but also stands as a testament to the university’s commitment to providing top-tier amenities for its sports programs.",2024-03-17 01:25:22
Ellen Vagelos Field,Scott Welling,4,"As a spectator - Awkward. Wedged-in tightly between railroad tracks and the interstate. Not the easiest place to get to for a first visit. Park at the ""One World Cafe"" lot, walk past the lacrosse and softball fields, take the pedestrian bridge across the tracks, proceed under the highway overpass and follow the path adjacent to the under-construction soccer complex(?) to Vagelos field. Bleacher seating is sparse, but nearly level with the pitch. I get it - it's an urban campus and real estate is at a premium. There was a small temporary restroom but no food or merchandise vendors.",2023-09-05 18:19:55
Ellen Vagelos Field,Jonathan Kinley,4,"Great Match Views.
Not easy to get to on public transportation.
Parking isn't Free, but it's close to the stadium.
All areas are accessable.
It's lacking perminent restrooms.
Overall a good experience.",2019-11-21 03:30:53
Ellen Vagelos Field,Michael Jordan,5,Beautiful venue for field hockey. Water turf. City skyline as the backdrop.,2018-03-31 19:23:04
Ellen Vagelos Field,JEANMARIE BRADLEY,1,Finding it was a nightmare! Obviously Penn doesn't acknowledge the women's field hockey. Not one sign to direct you to the game.,2021-10-06 21:14:37
Friends of Chamounix Tennis Courts,Akanksha Sinha,4,I liked the vicinity to my neighborhood and it's a free court. Well maintained and clean court. Free parking across the street. Trees will give ample shade to take rest in a sunny day. I wished some kind of wall to be there so that I could practice alone too.,2017-07-07 12:24:22
Friends of Chamounix Tennis Courts,John Rose,5,"The courts and nets are in nice shape by public court standards. Two of the courts are out of commission, and several others have some cracks but are playable. Overall, I have not seen a shortage of playable courts even on Sunday mornings.

What's really nice, compared to a lot of public courts, is that most of the courts are at least partially shaded. During those blazing hot summer days it's nice to be able to play in the shade!

Additionally the courts are (properly) situated more or less north-south instead of east-west. So you are not looking directly into the sun during mornings/evenings.

Each court has its own fence so you don't have to worry about disrupting (or being disrupted by) errant balls from adjacent courts.

Plenty of parking. There are also public bathrooms, but they always seem to be locked. Not sure what the deal is there.",2019-09-04 14:12:05
Friends of Chamounix Tennis Courts,Malarie Perelshteyn,5,"Great courts - some in better shape than others. My husband and I have been going to the Strawberry Mansion courts for years, but I think we're making the switch to Chamonix. Shady, you're separated from each other, parking is right there (so you don't have to park in the grass like at SM). Two thumbs up!",2021-08-29 15:16:02
Friends of Chamounix Tennis Courts,lakisha Brown (Kisha B.),4,"My family and I love going to the courts. We're by no means experts but its fun and good excersize. I didn't give it 5 stars because one of the courts has no net, and hasn't had one for over a year. Other than that, we love it!",2021-04-08 01:55:25
Friends of Chamounix Tennis Courts,Mike Harris,5,One of my favorite places in philly,2023-02-24 01:30:53
Gimbel Field,Michael Buonaiuto,5,Can confirm this is a field. The listing details the space approximately appropriately.,2022-12-01 01:40:24
Gimbel Field,Jerry DeRosa,2,"Playable field, everything else should be torn down.",2017-04-16 11:47:49
Gimbel Field,Michael Korostelev,5,Lots of space,2019-12-15 04:11:05
Feliz Filadelfia,Olympia Howell,1,"Today we went to this event. My son was excited to do something for Easter. We had hotdogs, chips, water and hot chocolate, definitely was going smooth. While waiting for space in one of the bouncy houses we noticed that it was really crowded with large kids and smaller kids. There were two different bouncy houses one was a replica of a boxing ring, and had huge boxing gloves for the children to use on each other. Some of the older children took the boxing gloves and brought them over to the bouncy house that was not the boxing ring. We looked around for any adults that were supposed to be supervising the two separate bouncy houses, but there was no one around. I saw who I thought to be the head of the organization. I asked him if there was anyone to supervise the two activities and he told me YES but sadly they both we not around. He then proceeded to ask me if there was a problem, and I told him of the larger children mixed in with the smaller children and how they had brought the boxing gloves to the other bouncy house. He laughed and asked me did anyone get hurt yet? I told him no and that no worries if someone were to get hurt, I would laugh too. He kept talking as I turned my back on him and gave him a peace sign over my shoulder. He then said to his group of male friends that someone always wants to be negative, I never thought that having concern for children was something negative. He finally dispersed from his group of five other men to go find the two adults that were supposed to be watching the bouncy houses one of the men that was supposed to be supervising was part of the group of men he was speaking with ￼and the female he claimed that was supposed to also be watching was over in the kitchen area socializing and mingling with other parents. I was completely irritated and was ready to start snapping but realize that neither him or his negative mindset was worth any more of my time or breath so I went over to Dollar General inside the Olney Plaza and brought him enough items to make three Easter baskets. ￼Right before I left a little boy went up to him and said that he was accidentally kicked in the face, I guess someone did get hurt.",2023-04-08 18:16:25
Feliz Filadelfia,M Quinn,5,Well kept little league baseball field. Fields are completely fenced in and locked from the public.,2023-05-07 15:51:39
Feliz Filadelfia,jonathan johnson,5,Nice little snack stand with low prices and they give every child a free water ice after EVERY soccer practice.,2023-09-27 22:44:10
Feliz Filadelfia,Bm Miles,5,This Olney A's Baseball fields. It's a family park where you can take your whole family too after a home cooked meal so I'm giving it a 5 rating,2019-07-02 06:35:16
Feliz Filadelfia,Milta Ortiz,5,"I love this field, my son and grandchildren grew up playing here, I would love to see it restored.",2020-05-04 19:13:08
Ford Road Playground,Donna DeLoach,5,Fun for the kids. Safe and plenty of room for playing.,2022-01-21 07:34:02
Ford Road Playground,William Cromwell,3,Small almost insignificant little playground with basic play constructions for children aged up to around ten years old. A redeeming feature thought is its lovely background setting. Located on a lush green grassy field with beautiful mature trees and meandering little bench lined paths. A natural environmentally precious nook within the greater confines of the city !,2021-12-11 11:28:21
Ford Road Playground,Daniel Buckley,4,Nice little park in a convenient location.  There is not a lot here for kids to play on (though there is enough) so I would suggest the park around the corner on Conshohocken that has more stuff but this location is great for just hanging out or for playing with your dog (note that it isn't a dog park though).,2017-01-27 11:13:59
Ford Road Playground,love life (Riefy),4,"Nice grassy quite playground
In Fairmount Park
Located next to WordsWorth (behavioral)  school
Places near by
✨Chris's pizza
✨Belmont Ave.
✨Five points (tavern)
✨City Line Ave.
✨Target
✨Dunkin Donuts",2016-10-18 17:22:09
Ford Road Playground,Mr. Heartbreak,5,"My kids love it here, fed the ducks and fish.",2022-09-17 23:19:28
Jose Manuel Collazo Park,Francisco Hernandez,5,Handball park!!!! Great players here!,2017-08-24 19:52:29
Jose Manuel Collazo Park,JR Colon,5,The cleanest park around the neighborhood & everyone comes here to enjoy themselves having a good time playing the sport of 🏀 & Handball! I have 1 suggestion for this park. What will be the icing to the cake for this park is to have a Ping🏓Pong table out there 💯👍🏽👌🏽 & I know for a fact that a lot of people will agree with me as well! Just throwing that out there!,2019-07-27 21:21:46
Jose Manuel Collazo Park,candy vazquez,4,First time here...thought should have more play area for kids. Liked sprinklers.,2022-08-12 00:45:16
Jose Manuel Collazo Park,Johnathan Mitchell,4,Newer slides within last few years and painted nicely all over ppl are pretty cool too,2021-09-25 18:29:41
Jose Manuel Collazo Park,Melinda Marrero,5,Very clean park,2023-10-12 17:41:27
Frankford Playground,Leilani Pritchett,4,"I always take my dog here. Its clean for the most part. There are needles around the benches, but that's Frankford. The playground area is nice",2024-02-21 00:13:35
Frankford Playground,Claudia Jenkins,4,Its not the best but its near where we live. People be in there smoking and its dirty sometimes. My son loves the playground so we go but when I see behavior that i don't like we just leave. I see a sign that's it may be getting remodel I think that's a wonderful idea.,2019-08-31 23:45:00
Frankford Playground,Marisol .fairytales,1,"Not very good. It feels a little new to me because i haven't been there is a long time, but the park needs a lot of fixing. There are no swings either. And the basketball courts are breaking too. There is a lot of room to run, so that is a good thing.",2020-03-20 04:32:31
Frankford Playground,Jesse Elsetinow,2,"It's a shame what has happened to this place. Needles, drug bags, the field is covered in dog feces. When i was a kid i playedfootball and baseball there and it was nice , they even had a place to get a drink and a snack. If i had the money I'd bring sports back to the neighborhood and clean that place up.",2019-02-15 22:22:53
Frankford Playground,Jerry grizzly,4,Place was clean park was well kept . I found parking. Kids played with no problems. All went well we did what we cam to do and enjoyed my stay.,2018-04-23 09:26:41
Von Colln Playground,Rose Zu,5,Nice large playground featuring separated spaces for younger and older kids. Features a splash pad for the summer too. Next to baseball diamonds and other sports fields so it's pretty kid friendly. However when there are ball games the kids tend to spill over to the playground and you have to beware that they don't run over the little ones.,2023-10-07 18:37:07
Von Colln Playground,Sandy Ribeyre Leitao,5,Very nice clean playground. Two modern play structures and a great splash pad.  My three kids between 5 and 10 years old loved it!,2019-07-29 01:56:25
Von Colln Playground,Kelly Wear,5,Areas for big and little kids. Not too crowded on a Sunday morning. There's a water play area too.,2022-05-29 15:29:18
Von Colln Playground,Rebecca Drew,5,Amazing playground with great water features!,2022-06-13 18:02:16
Von Colln Playground,Sydney McDermott,5,Had the best time here with my friends. Food was great and the playground was fun!,2020-02-20 20:18:41
Rainbow de Colores Park,Jimmy Ramirez,5,,2023-01-05 15:43:38
Lemon Hill Playground,Jessica Heintz,4,"Nice playscape designed more for 3 to 5 year olds, though there are two little slides for younger ones they can also go up about 6ft as well. There are benches for sitting around and some grassy areas to play in or eat a snack. There is also a basketball court. Very rarely is the playground ever empty! It is a great place if you are looking for a playground that has more nature around it compared to other playgrounds in the city. Parking is typically easy as well!",2023-11-05 16:50:02
Lemon Hill Playground,Iam Sů,5,"This playground is so beautiful. Always laid back energy and joy.

Highlights:

✨️ Baseball field

✨️ Basketball court ( Full & half court )

✨️ Great environment for dog owners and their pet friends.

✨️ Full playground with swings and equipment fully designed and operational.

✨️ Family-friendly

✨️ Picnic areas

✨️ Friendly families and children.

Would love to see some water sprays out here for the children, especially during the summertime. . .",2022-06-30 23:56:35
Lemon Hill Playground,Umm Kelechi,5,"I love Lemon Hill Playground. It has a basketball court and a nice playground that isnt too big so your children can stay in one place. There is plenty of green space to fly kites, ride bikes, have a picnic, and exercise. It's also pretty clean and safe here. If you drive there is plenty of parking and its close to buses and also very walkable. There is also a place across the street that is all grass if you want to be away from the crowd or walk your dogs.",2019-04-18 22:22:36
Lemon Hill Playground,Tanya Straus (Alimova),5,"Great playground, has room for climbing, bucket swings, slides. There is also a basketball court. There used to be ""big kid"" swings but aren't any more.",2018-12-16 22:14:05
Lemon Hill Playground,Leverner Pitt,4,"Not to much in the playground area for most children's ages 5-12 to play at but has great open space, basketball court and a baseball field of those interest you.",2021-10-23 12:28:52
Butler St Playlot,Andre Haile (Popz),5,I'm always around here. 🦾🔥💯,2022-06-18 22:22:51
Butler St Playlot,Tamika Rogers,3,Was there for a safe distance repast,2020-08-20 02:39:45
Butler St Playlot,Greater Technologies,5,Home! Period.,2019-05-06 12:55:26
Butler St Playlot,Toccara Levins,3,,2020-11-02 23:21:23
Butler St Playlot,obey_SAVAGEGIRL09 jadore,5,,2021-06-09 21:40:42
Tot Lot,John Doe,5,"A playground to do some calisthenics albeit without the proper equipments: some pull-ups, front lever, and inverted rows on the monkey bars; ringed dips holding onto the two adjacent swings.",2020-02-01 16:42:14
Tot Lot,Neal Mathew,5,Tot lot is a great little playground,2022-06-30 13:51:36
Tot Lot,Patricia Myrick,5,Very cute toddler park and play area.,2021-06-24 22:51:06
Tot Lot,Josh Bruck,5,Great place to hang out with wonderful neighbors,2018-10-28 17:56:25
Tot Lot,Patricia M,4,,2021-09-09 14:38:57
45th & Samson Tot Lot,Anise Suonborai,5,Nice nice isn't this place called Fairmount Park of West Phily?,2019-04-13 19:50:55
45th & Samson Tot Lot,Rhonda Frazier,5,I always go here. Nice place 😊.,2021-08-26 22:21:02
45th & Samson Tot Lot,Saikat Chowdhury,5,,2019-04-22 23:58:42
St. Lawrence Borough Playground,Liz Metz,5,,2017-11-02 21:15:43
St. Lawrence Borough Playground,Jan Pluto,4,,2023-06-21 23:52:41
Belmont Plateau,Horace Womack,5,A great place to vibe with friends and love ones nice Scenery Laid back atmosphere. Yes beautiful skyline of the city night or day Some people call it a Hippie Park lot of people come and drink and smoke.,2023-11-18 16:12:22
Belmont Plateau,Ruth Briggs,5,"PLEASE TOUCH MUSEUM: I visited the museum the summer of 2023 with my granddaughter, Una.  At four years old, Please Touch is perfect for very energetic children, by encouraging active, hands on learning through exploration, independent thinking and hands on, interactive play.  We always have fun at Please Touch!",2023-09-22 12:04:10
Belmont Plateau,Rebecca M.,5,A nice grassy hill with a good view of the skyline and access to walking/cross-country trails in the woods at the bottom of the hill. Nice sunset spot. There are some picnic tables and trash cans and seasonal port-a-potties near the ball fields. The parking lot is pretty active.,2024-01-14 20:54:57
Belmont Plateau,MR KINWA,4,This is a very clean zoo and is a great place for children to visit and learn about the animals outside of school to observe in real life. It is the cleanest bathroom I have ever seen in a park.,2023-06-27 22:10:51
Belmont Plateau,Margaret Ervin-Willis,5,"The Zoo is always working on the animal habitats, and we support their efforts to improve the zoo for both the animals and the zoo-goers. It was a great visit, the staff is wonderful and always enthusiastic to answer any questions.",2023-09-19 01:35:54
Edgely Field #3,Jessica James,4,"Huge outdoor space near Strawberry Mansion neighborhood (and other historic mansions in Fairmount Park) Great place for kids. I take my dog here and she loves it. Unfortunately, another dog owner did not have her dogs under control and they chased my dog and my friend. Was afraid they were going to get mauled. The owner was not at all concerned....which was quite concerning.",2022-01-12 19:33:51
Edgely Field #3,Justin M,3,"Rugby pitch isn't well taken care of, severely uneven ground, dangerous cement posts under shallow dirt, no lights, and grass isn't maintained.",2022-09-29 11:31:33
Edgely Field #3,Sharath Bennur,4,"Large soccer, ultimate frisbee and baseball fields in East Fairmont park. Adjacent to some rough neighborhoods. -1 star as it gets crowded, especially when there are other events such as rowing on the Schuylkill. Also needs a little more TLC from the city, sigh..",2016-09-06 11:25:31
Edgely Field #3,Peter K,5,Beautiful open space that needs to be preserved,2022-08-06 01:52:10
Edgely Field #3,Shawn Bryant,5,What can I say. 10Y football!! Go Ramblers!! Lil Q#1.,2022-08-28 01:14:16
Dairy fields 3,Francis DeMuro,5,,2023-06-07 17:25:37
Salvatore Pachella Field,Angie L. Matos,5,"A quiet spot that had soccer ⚽️,  baseball ⚾️,  restrooms a pavillion with picnic tables but for that you need a permit for, but at a reasonable price. We had our first annual FAMILY FUN DAY there and it was great 👍.  I love ❤️ this place.",2023-10-09 15:43:33
Salvatore Pachella Field,Qadirah Russell,4,Great open fields. Lack of shade but always clean. Bring your own seating.,2023-10-13 07:37:47
Salvatore Pachella Field,Iurii Novak,5,"For exercises, play volleyball, baseball, soccer or football. Also you could take a break and have a second breakfast or lunch. Or go down and jogging, wslking, hiking at the Park. I appreciate for this park, a lot of thanks",2019-03-31 17:45:08
Salvatore Pachella Field,Miss Cassie,4,Great place to take your dog for exercise & play soccer,2024-02-01 10:20:04
Salvatore Pachella Field,LoveStruck Pictures,5,"Great place for a picnic, games, hiking, working out  and playing with your dogs!!",2021-04-21 11:41:23
Edgely Ultimate Fields,A B,5,Great open space for the community to come and play Ultimate. Well maintained.,2023-06-04 23:33:50
Edgely Ultimate Fields,Carmella Franklin,4,"My family member had a permit for a memorial picnic in honor of her ex-husband along with their daughter. The site was nice and had a nice view . The parking area was very rough with gravel but it had a few picnic tables and a portable toilet and wash station . She had a company setup tables , chairs and canopies.  Fairmount Park is beautiful and the park services division is great .",2021-09-13 17:36:43
Edgely Ultimate Fields,Vishu Doshi,5,"A beautiful stretch of grass wonderfully maintained by the Philadelphia Area Disc Alliance (PADA), and is at risk of being ruined by a project to put a turf stadium OVER beautiful grass fields that are maintained and used heavily by a large population of Philadelphians.",2022-08-24 03:43:22
